itemCode,prodOrder,projectCode,customer,description,status
SO2600001,PD2603124,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-41 แป๊ปต่อกลางคานฟีต,Completed
C1T2D37A134F00,PD2603125,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-42 เพลทรองคานฟีด,Completed
SO2600001,PD2603125,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-42 เพลทรองคานฟีด,Completed
C1T2D37A134900,PD2603126,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,09-06 เพลท 1,Completed
SO2600001,PD2603126,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,09-06 เพลท 1,Completed
C1T2D37A134A00,PD2603127,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-1 WD PD CV L3740 (In-Out Bound),Completed
SO2600001,PD2603127,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-1 WD PD CV L3740 (In-Out Bound),Completed
C1T2D37A134B00,PD2603128,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-2 WD PD CV L3740 (In-Out Bound),Completed
SO2600001,PD2603128,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-2 WD PD CV L3740 (In-Out Bound),Completed
C1T2D37A134C00,PD2603129,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-3 WD PD CV L3740 (In-Out Bound),Completed
SO2600001,PD2603129,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-3 WD PD CV L3740 (In-Out Bound),Completed
C1T2D37A134D00,PD2603130,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-4 WD PD CV L3740 (In-Out Bound),Completed
SO2600001,PD2603130,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10-4 WD PD CV L3740 (In-Out Bound),Completed
C1T2D37D014100,PD2603131,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01-1 Guard In-Out CV PD L3740 MRK,Completed
SO2600001,PD2603131,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01-1 Guard In-Out CV PD L3740 MRK,Completed
C1T2D37D014200,PD2603132,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01-2 Guard In-Out CV PD L3740 MRK,Completed
SO2600001,PD2603132,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01-2 Guard In-Out CV PD L3740 MRK,Completed
C1T2D37D024100,PD2603133,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-02-1 Guard In-Out CV PD L3740 MRK,Completed
