itemCode,prodOrder,projectCode,customer,description,status
L822524Z011000,PD2603056,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Spocket RS80-2 30T (Test run),Completed
SO2500019,PD2603057,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Spocket RS80-2 37T (Test run),Completed
L822524Z021000,PD2603057,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Spocket RS80-2 37T (Test run),Completed
L822524Z024100,PD2603058,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Plate plocket RS80-2 37T (Test run),Completed
SO2500019,PD2603058,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Plate plocket RS80-2 37T (Test run),Completed
SO2500019,PD2603059,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Bush plocket RS80-2 37T (Test run),Completed
L822524Z024200,PD2603059,SO2500019,บจก.ซิเลซติกา(ประเทศไทย),Bush plocket RS80-2 37T (Test run),Completed
WM2600002,PD2603060,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper,Active
Z8L0000Z511600,PD2603060,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper,Active
WM2600002,PD2603061,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper-1,Completed
Z8L0000Z511601,PD2603061,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper-1,Completed
WM2600002,PD2603062,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper-2,Completed
Z8L0000Z511602,PD2603062,WM2600002,WM  BRS (รอระบุวันที่เริ่มต้น-สุดสิ้น),Shaft Stopper-2,Completed
SO2600001,PD2603063,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10 PD CV L3740 (In-Out Bound),Active
C1T2D371000000,PD2603063,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10 PD CV L3740 (In-Out Bound),Active
C115A60B011B00,PD2603064,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,BG-01 Dowell Pin D15-L74 (M8x1.25),Completed
SO2600001,PD2603064,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,BG-01 Dowell Pin D15-L74 (M8x1.25),Completed
C1B2M20E011000,PD2603065,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-27 ชุดแผ่นพับยึด Sensor Reflector (ตัวสูง),Completed
SO2600001,PD2603065,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-27 ชุดแผ่นพับยึด Sensor Reflector (ตัวสูง),Completed
C1K2F20A161000,PD2603066,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,01-19 AL-Profile XA-4040T L400,Completed
SO2600001,PD2603066,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,01-19 AL-Profile XA-4040T L400,Completed
