"Document number
 Reference",เลขที่โครงการ,ชื่อโครงการ,ประเภท,ชื่อเครื่องจักร,เลขที่ Item,ชื่อ Item,จำนวน,Production Order,"จำนวนPD
 /Act Line :",วันที่แจ้งดำเนินการ,เป้าหมายส่งมอบ 1,เป้าหมายส่งมอบ 2,เป้าหมายส่งมอบ 3,เป้าหมายส่งมอบ 4,เป้าหมายส่งมอบ 5,เป้าหมายล่าสุด,"PO/PR
 NO",หมายเหตุ,สถานะ,"Closed
 (*)"
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011108,EN-02-00 ชุดล้อตาม SRM 2ARM SD,1,PD2605586,25,17/6/2026,31/7/2026,,,,,31/7/2026,,1/8/26,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011107,EN-01-00 ชุดล้อขับ SRM 2ARM SD,4,PD2605587,,17/6/2026,31/7/2026,,,,,31/7/2026,,1/8/26,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,Z6F0100A011103,A0001-05-114-1 ประกอบล้อประคองล่าง,3,PD2605588,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100411,A0001-11-031 แผ่นปิดลูกปืนล้อ,1,PD2605589,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100413,A0001-00-133 แผ่นล็อคน๊อตคลาย,4,PD2605590,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230106201,A0001-11-106 ประกอบล้อหน้ากับเพลา,1,PD2605591,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011109,A0001-13-01 แผ่นปิดลูกปืนล้อ,1,PD2605592,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230106401,A0001-11-006 เพลาล้อหน้า,1,PD2605593,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230106402,A0001-11-007 ล้อหน้า,3,PD2605594,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100412,A0001-03-028 แผ่นปิดปลายเพลา,2,PD2605595,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100421,A0001-11-115 ตุ๊กตาลูกปืนล้อ 1 ( Rev.2 ),2,PD2605596,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100422,A0001-11-116 ตุ๊กตาลูกปืนล้อ 2 ( Rev.2 ),1,PD2605597,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230105201,A0001-11-105 ประกอบล้อหลังกับเพลา,4,PD2605598,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011110,A0001-13-02 แผ่นเสริมซีลน้ำมัน,4,PD2605599,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011111,A0001-13-03 BUSH เสริมซีลน้ำมัน,1,PD2605600,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z011113,A0001-13-05 ปลอกเพลาขับแกน X,1,PD2605601,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230105401,A0001-11-003 เพลาขับแกน X,1,PD2605602,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230105403,A0001-11-005 ลิ่ม 25x14x55,1,PD2605603,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230105402,A0001-11-004 ล้อหลัง,1,PD2605604,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230100403,A0001-00-106 ลื่มใหม่,4,PD2605605,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,Z930103A011124,1-23 ล้อประคองหน้า,4,PD2605606,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230107404,A0001-00-119 ฝาปิดล้อประครองข้าง,4,PD2605607,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B9420230107402,A0001-05-054 สลักล้อประครองหน้า,4,PD2605608,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z041102,A0001-05-118 BUSH ลูกปืน,4,PD2605609,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-6-9,BDM250041,BDM Morakot มรกต 15/11/2568-14/11/2569,เอกสาร 04,MDPB-26-0138,B942023Z041101,A0001-05-118 BUSH สลักล้อประคอง,4,PD2605610,,17/6/2026,31/7/2026,,,,,31/7/2026,,,ส่งแล้ว,*
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z311000,Assy support drive wheel_Modify for Motor Rossi,1,PD2601354-PD2601382,29,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z321000,Assy support wheel_Modify for Motor Rossi,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B131012A011600,1-48-Support Disc spring,40,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B631526A011311,1-49 Support guide wheel,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A021600,1-71 Bush gear,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A021700,1-72 Torque arm,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A021800,1-77 Cover gear X,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A031600,1-24 Bush wheel 3,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A031700,1-25 Bush wheel 4,2,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A061300,1-83 Assy Torque arm,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z171100,1-8 Weld support wheel_Modify PH,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z171200,1-59 Weld Support Bottom Guide Wheel 2_Modify PH,2,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z181100,1-8.4 Weld support wheel_Modify PH-02,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281000,1-44 Assy Bottom Guide Wheel-V2,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A024701,1-73 Plate torque arm 1,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A024703,1-75 Plate torque arm 3,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A024702,1-74 Plate torque arm 2,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026A061301,1-84 Torque arm 2,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B637521A01133B,1-27 Reaction bolt,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B637521A01133C,1-28 Bush reaction bolt 1,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B637521A01133D,1-29 Bush reaction bolt 2,1,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z174101,Plate Merg-01,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B631526A0143BE,1-35 Plate support wheel 5,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z174102,1-34 Plate support wheel 4_Modify PH,2,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281100,1-45 Guide wheel-V2,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281200,1-46 Shaft guide wheel-V2,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281300,1-47 Bush guide wheel 1-V2,8,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281400,1-48 Bush guide wheel 2-V2,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-7-3,คลัง BKK,คลัง BKK,เอกสาร 04,MDPB-26-0157-1,B763026Z281500,Plate cover,4,,,19/2/2026,28/7/2026,14/8/2026,31/8/2026,,,,,,,
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230106201,A0001-11-106 ประกอบล้อหน้ากับเพลา,2,PD2605676 - PD2605685,10,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230106401,A0001-11-006 เพลาล้อหน้า,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230106402,A0001-11-007 ล้อหน้า,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230105201,A0001-11-105 ประกอบล้อหลังกับเพลา,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230100403,A0001-00-106 ลื่มใหม่,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230105401,A0001-11-003 เพลาขับแกน X,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230105402,A0001-11-004 ล้อหลัง,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B9420230105403,A0001-11-005 ลิ่ม 25x14x55,2,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B942023Z011110,A0001-13-02 แผ่นเสริมซีลน้ำมัน,8,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-51,BDM250037,BDM ศรีตรัง ตรัง เริ่ม11/10/2568 - 10/10/2569,เอกสาร 04,MDPB-26-0149,B942023Z011111,A0001-13-03 BUSH เสริมซีลน้ำมัน,8,,,17/6/2026,7/8/2026,14/8/2026,,,,14/8/2026,,14/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z011101,4-06 MC NYLON 1520 mm,4,PD2606923 - PD2606957,35,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 18/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z011102,6-32 MC NYLON,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 18/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061000,9-37 แบบประกอบเกลียวตัวเมีย Tr36,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 21/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z131000,6-34 Mc Nylon 550 mm,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 18/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z161000,10-06 MC NYLON 700 mm,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 18/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z171000,12-06 MC NYLON 285 mm,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 18/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z181000,ชุดล้อขับ SRM BOT,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061100,9-35 เกลียวตัวเมีย Tr36x10,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061200,9-55 ฝาปิดเกลียวทองเหลือง,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061300,9-57 ฝาปิดเกลียวทองเหลือง 2,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061400,9-64 แผ่นชิมสเตอร์,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061500,9-62 เฟืองโซ่ไม่มีดุมเบอร์60-20 ฟัน,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061101,9-35 เกลียวทองเหลือง-1,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z061102,9-35 เกลียวทองเหลือง,6,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z121000,2-34 แบบประกอบชุดตรึงโซ่ตัวบน RS #60-2,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z121100,2-36 แบบเชื่อมปลอกสปริงตึงโซ่ 60,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z121200,2-35 แกนล็อคโซ่บน Tsubaki RS #60-2,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z124101,2-36-1 ปลอกสปริงตึงโซ่ 60,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z670215Z144115,2-36-2 Stif Plate,8,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z640000Z071000,1-17 แบบประกอบล้อขับ B-O-T,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930103A011103,1-245 ลิ่ม 20 x 12 x 70mm,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930103A011116,1-17 ล้อหลังBV (แบบใหม่),2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011103,A0001-00-194 แผ่นปิดตุ๊กตาลูกปืนล้อตัวใน,8,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011107,A0001-00-196 แผ่นปิดตุ๊กตาลูกปืนล้อ,8,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011101,A0001-00-529 แบบประกอบตุ๊กตา,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011105,"A0001-00-197 ตุ๊กตาลูกปืนล้อ(BV,DC,สาขา)",8,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930104A011101,1-18 เพลาขับ bot,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930104A011103,1-200 ลิ่ม เพลาขับ bot,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z131000,2-29 แบบประกอบชุดตรึงโซ่ตัวล่าง RS #60-2,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z131100,2-31 แกนล็อคโซ่ล่าง Tsubaki RS #60-2,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z630312Z131200,2-32 mc ปลอกลดเสียง,4,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011127,ชุดล้อตาม SRM,2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
EN 69-6-94,BDM250040,BDM BOT ขอนแก่น 1/11/2568-31/10/2570,เอกสาร 04,MDPB-26-0154,Z930101A011128,1-15 แบบประกอบล้อหน้าBV(แบบใหม่),2,,,25/6/2026,11/8/2026,18/8/2026,,,,18/8/2026,,จ่าย Service เบิกแล้ว 19/8/26,ส่งแล้ว,*
